id,observed_on,time_observed_at,user_id,latitude,longitude,scientific_name
22100993,4/6/19,2019-04-06 17:23:38 UTC,1521145,34.40925377,-119.8462887,Bougainvillea
22101002,4/6/19,2019-04-06 18:00:44 UTC,1134267,34.411975,-119.8462133,Lantana
22101015,4/6/19,2019-04-06 17:24:37 UTC,1316650,34.41080934,-119.8515352,Salvia elegans
22101017,4/6/19,2019-04-06 17:41:08 UTC,1573615,34.41095497,-119.8571497,Medicago polymorpha
22101018,4/6/19,2019-04-06 17:25:55 UTC,1521145,34.40912675,-119.8460659,Raphanus sativus
22101036,4/6/19,2019-04-06 17:59:07 UTC,1134267,34.412655,-119.846305,Asteraceae
22101040,4/6/19,2019-04-06 17:26:18 UTC,1316650,34.41045386,-119.8512379,Salvia leucantha
22101056,4/6/19,2019-04-06 17:27:18 UTC,1521145,34.40954698,-119.8465601,Raphanus sativus
22101063,4/6/19,2019-04-06 17:26:44 UTC,1316650,34.41037943,-119.8511513,Eschscholzia californica
22101081,4/6/19,2019-04-06 17:38:31 UTC,1573615,34.40858965,-119.8518041,Asteraceae
22101085,4/6/19,2019-04-06 17:30:05 UTC,1521145,34.4093762,-119.8466536,Encelia californica
22101091,4/6/19,2019-04-06 17:27:12 UTC,1316650,34.41037972,-119.851124,Sisyrinchium bermudiana
22101125,4/6/19,2019-04-06 17:31:47 UTC,1316650,34.4097049,-119.8509168,Salix
22101130,4/6/19,2019-04-06 17:14:11 UTC,43205,34.41270294,-119.8477857,Taraxacum officinale
22101136,4/6/19,2019-04-06 17:31:27 UTC,1521145,34.40939504,-119.8463502,Oxalis pes-caprae
22101138,4/6/19,2019-04-06 17:35:38 UTC,1573615,34.40853885,-119.8509971,Geraniaceae
22101147,4/6/19,2019-04-06 17:15:27 UTC,43205,34.41293893,-119.8473653,Erythrina
22101166,4/6/19,2019-04-06 17:38:18 UTC,1316650,34.40780074,-119.8509262,Eschscholzia californica
22101173,4/6/19,2019-04-06 17:34:50 UTC,1521145,34.40939464,-119.8464184,Vicia sativa
22101176,4/6/19,2019-04-06 17:17:18 UTC,43205,34.41314223,-119.847338,Aloe arborescens
22101197,4/6/19,2019-04-06 17:19:08 UTC,43205,34.4139373,-119.8474296,Hibiscus
22101201,4/6/19,2019-04-06 17:31:48 UTC,1573615,34.4113399,-119.8475417,Encelia californica
22101209,4/6/19,2019-04-06 17:37:37 UTC,1521145,34.40933567,-119.8463887,Descurainia pinnata
22101225,4/6/19,2019-04-06 17:20:30 UTC,43205,34.41395155,-119.8474472,Angiospermae
22101231,4/6/19,2019-04-06 17:40:49 UTC,1316650,34.40769664,-119.8503787,Convolvulaceae
22101259,4/6/19,2019-04-06 17:22:17 UTC,43205,34.41379816,-119.8470546,Angiospermae
22101266,4/6/19,2019-04-06 17:28:02 UTC,1573615,34.41075913,-119.8510892,Melilotus indicus
22101273,4/6/19,2019-04-06 17:40:34 UTC,1521145,34.40936753,-119.8462817,Encelia californica
22101290,4/6/19,2019-04-06 17:23:18 UTC,43205,34.41343355,-119.8467433,Chamaerops
22101298,4/6/19,2019-04-06 17:47:03 UTC,1521145,34.40941136,-119.8453841,Hemerocallis lilioasphodelus
